Name,Synonyme,YahooTicker
DOMINOS PIZZA GROUP Travel & Leisure,"DOMINOS, DOMINOS PIZZA  Travel & Leisure, DOMINOS PIZZA GROUP Travel & Leisure, DPT&L",DPZ
SEB Personal & Household Goods,"SEB, SEB Personal & Household Goods, SP&HG",SEB
AA PLC Retail,"AA  Retail, AA PLC Retail, AR",AA
SBM OFFSHORE Oil & Gas,"SBM, SBM OFFSHORE Oil & Gas, SOO&G",SBMFF
B&M EUROPEAN VALUE RETAIL Retail,"B&M, B&M EUROPEAN VALUE RETAIL Retail, BEVRR",B
HAYS Industrial Goods & Services,"HAYS, HAYS Industrial Goods & Services, HIG&S",HASL.XC
BARRY CALLEBAUT Food & Beverage,"BARRY, BARRY CALLEBAUT Food & Beverage, BCF&B",BCLN.SG
GERRESHEIMER Health Care,"GERRESHEIMER, GERRESHEIMER Health Care, GHC",GXI.DE
AIR FRANCE-KLM Travel & Leisure,"AFT&L, AIR, AIR FRANCE-KLM Travel & Leisure",AIR
OCADO Retail,"OCADO, OCADO Retail, OR",OCDDY
SUNRISE Telecommunications,"ST, SUNRISE, SUNRISE Telecommunications",SUNS
NIBE INDUSTRIER B Construction & Materials,"NIBC&M, NIBE, NIBE INDUSTRIER B Construction & Materials",NIBE-B.ST
ROTORK Industrial Goods & Services,"RIG&S, ROTORK, ROTORK Industrial Goods & Services",RO41.F
CNP ASSURANCES Insurance,"CAI, CNP, CNP ASSURANCES Insurance",CNP
TECHNICOLOR Media,"TECHNICOLOR, TECHNICOLOR Media, TM",TNM2.MU
MAPFRE Insurance,"MAPFRE, MAPFRE Insurance, MI",MAPE.XC
WILLIAM DEMANT Health Care,"WDHC, WILLIAM, WILLIAM DEMANT Health Care",SHW
AMS AG Technology,"AMS, AMS  Technology, AMS AG Technology, AT",AMS
FAURECIA Automobiles & Parts,"FA&P, FAURECIA, FAURECIA Automobiles & Parts",FAU.DU
MONEYSUPERMARKET COM GP. Media,"MCGM, MONEYSUPERMARKET, MONEYSUPERMARKET COM GP. Media",39M.BE
GRAFTON GRP Industrial Goods & Services,"GIG&S, GRAFTON, GRAFTON  Industrial Goods & Services, GRAFTON GRP Industrial Goods & Services",GN5.BE
PLASTIC OMNIUM Automobiles & Parts,"PLASTIC, PLASTIC OMNIUM Automobiles & Parts, POA&P",PTOI
IMERYS Basic Resources,"IBR, IMERYS, IMERYS Basic Resources",IY4.F
WERELDHAVE Real Estate,"WERELDHAVE, WERELDHAVE Real Estate, WRE",WER.F
ASM INTERNATIONAL Technology,"ASM, ASM  Technology, ASM INTERNATIONAL Technology, AT",ASM
SCHIBSTED GRUPPEN Media,"SCHIBSTED, SCHIBSTED GRUPPEN Media, SGM",SCHBO.OL
BCO COMERCIAL PORTUGUES Banks,"BCO, BCO COMERCIAL PORTUGUES Banks, BCPB",BCO
FRAPORT Industrial Goods & Services,"FIG&S, FRAPORT, FRAPORT Industrial Goods & Services",FRAS.F
SPRINGER (AXEL) Media,"S(M, SPRINGER, SPRINGER (AXEL) Media",SPG.F
TRYG Insurance,"TI, TRYG, TRYG Insurance",TRYGBP=X
DKSH HOLDING Industrial Goods & Services,"DIG&S, DKSH, DKSH  Industrial Goods & Services, DKSH HOLDING Industrial Goods & Services",DS5.F
DAVIDE CAMPARI Food & Beverage,"DAVIDE, DAVIDE CAMPARI Food & Beverage, DCF&B",DVDCF
SYDBANK Banks,"SB, SYDBANK, SYDBANK Banks",TM2.F
DASSAULT AVIATION Industrial Goods & Services,"DAIG&S, DASSAULT, DASSAULT AVIATION Industrial Goods & Services",DSY.PA
DEUTSCHE EUROSHOP Real Estate,"DERE, DEUTSCHE, DEUTSCHE EUROSHOP Real Estate",DB
UNIPOL GRUPPO FINANZIARIO Insurance,"UGFI, UNIPOL, UNIPOL GRUPPO FINANZIARIO Insurance",0P000185V4.F
OTE Telecommunications,"OT, OTE, OTE Telecommunications",OTEX
THOMAS COOK GRP Travel & Leisure,"TCT&L, THOMAS, THOMAS COOK  Travel & Leisure, THOMAS COOK GRP Travel & Leisure",THOMASCOTT.BO
BILFINGER Industrial Goods & Services,"BIG&S, BILFINGER, BILFINGER Industrial Goods & Services",GBF.DE
